ERR1995213_mpa_pylum.mpa	d__Bacteria|p__Actinomycetota	99158
ERR1995213_mpa_pylum.mpa	d__Bacteria|p__Mycoplasmatota	5243
ERR1995213_mpa_pylum.mpa	d__Bacteria|p__Cyanobacteriota	4293
ERR1995213_mpa_pylum.mpa	d__Bacteria|p__Deinococcota	1719
ERR1995213_mpa_pylum.mpa	d__Bacteria|p__Chloroflexota	1292
ERR1995213_mpa_pylum.mpa	d__Bacteria|p__Armatimonadota	94
ERR1995213_mpa_pylum.mpa	d__Bacteria|p__Thermomicrobiota	41
ERR1995213_mpa_pylum.mpa	d__Bacteria|p__Pseudomonadota	391869
ERR1995213_mpa_pylum.mpa	d__Bacteria|p__Thermodesulfobacteriota	15201
ERR1995213_mpa_pylum.mpa	d__Bacteria|p__Planctomycetota	1912
ERR1995213_mpa_pylum.mpa	d__Bacteria|p__Verrucomicrobiota	1879
ERR1995213_mpa_pylum.mpa	d__Bacteria|p__Chlamydiota	83
ERR1995213_mpa_pylum.mpa	d__Bacteria|p__Kiritimatiellota	75
ERR1995213_mpa_pylum.mpa	d__Bacteria|p__Candidatus	28
ERR1995213_mpa_pylum.mpa	d__Bacteria|p__Lentisphaerota	15
ERR1995213_mpa_pylum.mpa	d__Bacteria|p__Campylobacterota	3524
ERR1995213_mpa_pylum.mpa	d__Bacteria|p__Spirochaetota	2692
ERR1995213_mpa_pylum.mpa	d__Bacteria|p__Synergistota	2158
ERR1995213_mpa_pylum.mpa	d__Bacteria|p__Myxococcota	2140
ERR1995213_mpa_pylum.mpa	d__Bacteria|p__Candidatus	1555
ERR1995213_mpa_pylum.mpa	d__Bacteria|p__Candidatus	45
ERR1995213_mpa_pylum.mpa	d__Bacteria|p__Candidatus	43
ERR1995213_mpa_pylum.mpa	d__Bacteria|p__Candidatus	10
ERR1995213_mpa_pylum.mpa	d__Bacteria|p__Fusobacteriota	1588
ERR1995213_mpa_pylum.mpa	d__Bacteria|p__Acidobacteriota	986
ERR1995213_mpa_pylum.mpa	d__Bacteria|p__Thermotogota	349
ERR1995213_mpa_pylum.mpa	d__Bacteria|p__Bdellovibrionota	221
ERR1995213_mpa_pylum.mpa	d__Bacteria|p__Deferribacterota	172
ERR1995213_mpa_pylum.mpa	d__Bacteria|p__Nitrospirota	162
ERR1995213_mpa_pylum.mpa	d__Bacteria|p__Aquificota	92
ERR1995213_mpa_pylum.mpa	d__Bacteria|p__Calditrichota	75
ERR1995213_mpa_pylum.mpa	d__Bacteria|p__Chrysiogenota	57
ERR1995213_mpa_pylum.mpa	d__Bacteria|p__Nitrospinota	40
ERR1995213_mpa_pylum.mpa	d__Bacteria|p__Elusimicrobiota	22
ERR1995213_mpa_pylum.mpa	d__Bacteria|p__Atribacterota	21
ERR1995213_mpa_pylum.mpa	d__Bacteria|p__Dictyoglomota	12
ERR1995213_mpa_pylum.mpa	d__Bacteria|p__Coprothermobacterota	5
ERR1995213_mpa_pylum.mpa	d__Bacteria|p__Caldisericota	5
ERR1995214_mpa_pylum.mpa	d__Bacteria|p__Pseudomonadota	15427086
ERR1995214_mpa_pylum.mpa	d__Bacteria|p__Bacillota	7505489
ERR1995214_mpa_pylum.mpa	d__Bacteria|p__Actinomycetota	37796
ERR1995214_mpa_pylum.mpa	d__Bacteria|p__Cyanobacteriota	1605
ERR1995214_mpa_pylum.mpa	d__Bacteria|p__Mycoplasmatota	1222
ERR1995214_mpa_pylum.mpa	d__Bacteria|p__Deinococcota	960
ERR1995214_mpa_pylum.mpa	d__Bacteria|p__Chloroflexota	486
ERR1995214_mpa_pylum.mpa	d__Bacteria|p__Thermomicrobiota	87
